LATITUDE,LONGITUDE,Total N2 Fixation (μmol N m-2 d-1),DATE,YRDY,MLD,CHL,SST,PAR,Salinity,DO,z_eu,N_avg,P_avg,Fe_avg,coord1,coord2,coord3,month,time_cos,time_sin,log_P,log_N,log_CHL,log_y
37.15,155.0,22.0,2008-08-28,2008241,13.66929577562729,0.1424554139375687,26.08687591552734,48.49800109863281,34.331,85.128,69.87290954589844,3.455950000000001,0.3684,0.1447155630867293,0.6039037812533286,0.3368509397494638,0.7223791714728734,8,-0.5000000000000004,-0.8660254037844384,-0.4336803784751887,0.5385674505657746,-0.8463210409943039,1.342422680822206
40.9839,-67.20298333333334,84.22472219640838,2009-08-25,2009233,12.97406591081075,0.975265383720398,20.89437484741211,43.81099700927734,33.103,177.987,37.96918487548828,0.703181818181818,0.1135454545454545,0.9555862183279679,0.6558469312022799,-0.6959241023036715,-0.2924969173604756,8,-0.5000000000000004,-0.8660254037844384,-0.9448302467840897,-0.1529323671228388,-0.01087719045253449,1.925439587195267
22.75,-158.0,274.279,2013-08-15,2013225,46.16088416735501,0.03702697530388832,26.21999931335449,55.9739990234375,34.988,107.299,103.8505172729492,0.04104545454545456,0.06463636363636363,0.1912976865573693,0.3867109616368206,-0.3454625644423121,0.8550498515986461,8,-0.5000000000000004,-0.8660254037844384,-1.189523084428459,-1.3867349305087,-1.431481763577967,2.438192557392165
33.34,-76.52,1370.0,2016-08-15,2016225,33.01196316927091,0.06670622527599335,30.25,54.63199996948242,36.066,194.919,88.87522888183594,0.08666666666666667,0.1335555555555556,0.2269839040521257,0.5496061877719384,-0.8124090668889673,-0.1947422563271623,8,-0.5000000000000004,-0.8660254037844384,-0.874338041772604,-1.062147906748844,-1.175833634196598,3.136720567156407
0.0043009,-140.0006,97.48608438200377,2006-08-26,2006233,38.73535206575067,0.2474986016750336,26.30624961853027,55.62099838256836,35.01,32.179,58.64762878417969,6.505272727272726,0.5677272727272725,0.1135473484735067,7.506486572852902e-05,-0.6427795858416994,0.7660511721748354,8,-0.5000000000000004,-0.8660254037844384,-0.2458602424480709,0.8132655086557528,-0.6064272504133714,1.988942626904439
27.53,-117.54,69.96,2008-08-01,2008209,16.06992640901934,0.08556889742612839,21.65562438964844,50.84199905395508,33.628,15.316,82.12812805175781,0.05540909090909091,0.297,0.1251425349245181,0.4622129877045065,-0.7862876051422587,0.4100133607541652,8,-0.5000000000000004,-0.8660254037844384,-0.5272435506827877,-1.256418975203824,-1.067684063953599,1.844849800806639
3.525666666666667,-45.31483333333333,6.708993901949473,2001-08-03,2001209,48.72422138247852,0.1517537832260132,26.66250038146973,48.7859992980957,35.823,151.357,68.48609161376953,0.6562272727272729,0.321909090909091,0.2954680731227893,0.0614956656854593,-0.7096359133742679,-0.7018797286938631,8,-0.5000000000000004,-0.8660254037844384,-0.4922667584001139,-0.182945724347972,-0.8188604731442981,0.8266573971298717
42.057,-65.736,36.0,2009-08-17,2009225,10.91337306771301,0.6803478598594666,17.51750183105469,45.79899597167969,32.131,164.686,42.56134414672852,3.160227272727273,0.6078181818181817,1.127542140440914,0.6698695835863409,-0.6768894375798579,-0.3051154376276067,8,-0.5000000000000004,-0.8660254037844384,-0.2162263129016754,0.4997183167139909,-0.1672689770156611,1.556302500767287
19.5,-159.0,152.092344581314,2003-08-12,2003217,42.40705715875418,0.06191837787628174,27.38375091552734,52.96199798583984,34.835,50.498,90.99893188476562,0.098,0.1086818181818182,0.1912634835336232,0.3338068592337709,-0.3378124983190284,0.8800316452877941,8,-0.5000000000000004,-0.8660254037844384,-0.9638431047064314,-1.008773924307505,-1.208180429725158,2.18210735481721
-17.0,8.56,1.44,2011-08-07,2011217,59.83145192532238,0.3687092959880829,17.42499923706055,35.7599983215332,35.615,35.051,51.68511581420898,20.22372727272728,1.450954545454545,0.4550274894163687,-0.2923717047227368,0.1423412051989161,-0.9456520330333145,8,-0.5000000000000004,-0.8660254037844384,0.1616538073602194,1.305861199959281,-0.4333159127181731,0.1583624920952496
35.69,-74.35,4150.0,2016-08-15,2016225,23.24320347652272,0.06006542593240738,30.14999961853027,56.93999862670898,34.896,127.424,91.87975311279297,2.730999999999999,0.4229545454545454,0.1515259707273541,0.5833994671555415,-0.782075638754025,-0.219095314852039,8,-0.5000000000000004,-0.8660254037844384,-0.3737063033554204,0.4363217001397331,-1.22137543893579,3.618048096712092
11.49916666666667,-53.99533333333333,2.137772224580778,2001-08-14,2001225,13.44017377345125,0.4897119402885437,27.84375190734863,54.27199935913086,33.304,101.355,47.23750686645508,0.01131818181818182,0.01,0.4070431824609819,0.1993536819690129,-0.7927311690394552,-0.576051562899309,8,-0.5000000000000004,-0.8660254037844384,-2.0,-1.94622333372647,-0.3100593067675528,0.3299614301162366
39.933,-69.507,83.3,2012-08-08,2012217,13.89433721467309,0.3357201218605042,24.40499877929688,43.47200012207031,34.553,144.2,53.24411010742188,2.181954545454546,0.3427272727272726,0.5371274739461674,0.6418913805588005,-0.7182688936754814,-0.268449719579882,8,-0.5000000000000004,-0.8660254037844384,-0.4650513349524323,0.338845699110304,-0.4740226279176389,1.920645001406788
38.464,-73.3,599.7,2009-08-17,2009225,10.20262506069135,0.2204125821590424,26.23125076293945,51.38999938964844,31.925,230.415,60.84285736083984,1.654166666666667,0.5759166666666666,0.1552908009673241,0.6220227865832726,-0.7499741895716636,-0.2250030398628134,8,-0.5000000000000004,-0.8660254037844384,-0.239640353078656,0.2185792650515091,-0.6567636175957782,2.777934048837779
